date,ticker,action,price
2020-08-31,BAJFINANCE,SELL,3487.8
2020-09-01,INFY,SELL,914.15002
2020-09-01,BAJFINANCE,BUY,3643.8501
2020-09-02,HDFCBANK,SELL,1134.15
2020-09-03,HDFCBANK,BUY,1130.9
2020-09-04,ICICIBANK,SELL,372.54999
2020-09-07,BAJFINANCE,SELL,3505.1499
2020-09-08,TCS,SELL,2348.2
2020-09-08,SBIN,SELL,204.05
2020-09-09,TCS,BUY,2327.6499
2020-09-09,HDFCBANK,SELL,1096.5
2020-09-10,RELIANCE,SELL,1050.39286303
2020-09-11,RELIANCE,BUY,1053.00295765
2020-09-11,INFY,BUY,945.70001
2020-09-11,BAJFINANCE,BUY,3544.3999
2020-09-14,TCS,SELL,2491.3999
2020-09-15,TCS,BUY,2491.3999
2020-09-17,INFY,SELL,1011.0
2020-09-18,INFY,BUY,1002.15
2020-09-21,BAJFINANCE,SELL,3330.1499
2020-09-22,RELIANCE,SELL,1003.70616856
2020-09-23,RELIANCE,BUY,1012.62592863
2020-09-24,TCS,SELL,2332.25
2020-09-25,TCS,BUY,2422.3
2020-09-30,HDFCBANK,BUY,1078.6
2020-10-01,HDFCBANK,SELL,1106.95
2020-10-01,ICICIBANK,BUY,369.20001
2020-10-01,BAJFINANCE,BUY,3442.8
2020-10-05,TCS,SELL,2705.8
2020-10-05,HDFCBANK,BUY,1114.35
2020-10-05,ICICIBANK,SELL,373.10001
2020-10-05,BAJFINANCE,SELL,3382.8999
2020-10-06,TCS,BUY,2714.3
2020-10-06,ICICIBANK,BUY,380.60001
2020-10-06,SBIN,BUY,191.60001
2020-10-06,BAJFINANCE,BUY,3474.3
2020-10-07,INFY,SELL,1066.55
2020-10-07,SBIN,SELL,190.7
2020-10-07,BAJFINANCE,SELL,3331.1499
2020-10-08,HDFCBANK,SELL,1191.8
2020-10-08,INFY,BUY,1093.7
2020-10-08,SBIN,BUY,191.5
2020-10-09,HDFCBANK,BUY,1233.55
2020-10-09,SBIN,SELL,198.3
2020-10-12,ICICIBANK,SELL,404.04999
2020-10-12,SBIN,BUY,198.7
2020-10-13,ICICIBANK,BUY,396.25
2020-10-13,SBIN,SELL,195.7
2020-10-14,BAJFINANCE,BUY,3372.05
2020-10-15,HDFCBANK,SELL,1169.25
2020-10-15,BAJFINANCE,SELL,3214.75
2020-10-16,HDFCBANK,BUY,1199.35
2020-10-20,RELIANCE,SELL,978.62656368
2020-10-21,ICICIBANK,SELL,420.29999
2020-10-22,ICICIBANK,BUY,412.89999
2020-10-22,SBIN,BUY,203.3
2020-10-22,BAJFINANCE,BUY,3314.45
2020-10-23,BAJFINANCE,SELL,3316.8999
2020-10-26,SBIN,SELL,196.7
2020-10-27,TCS,SELL,2630.1499
2020-10-27,BAJFINANCE,BUY,3453.25
2020-10-28,ICICIBANK,SELL,396.04999
2020-10-29,ICICIBANK,BUY,399.89999
2020-10-30,INFY,SELL,1060.6
2020-10-30,BAJFINANCE,SELL,3309.0
2020-11-02,BAJFINANCE,BUY,3419.8
2020-11-03,ICICIBANK,SELL,443.85001
2020-11-03,SBIN,BUY,204.75
2020-11-04,ICICIBANK,BUY,437.04999
2020-11-05,SBIN,SELL,218.64999
2020-11-05,BAJFINANCE,SELL,3736.8999
2020-11-06,TCS,BUY,2707.45
2020-11-06,HDFCBANK,SELL,1307.65
2020-11-06,INFY,BUY,1112.75
2020-11-06,SBIN,BUY,219.2
2020-11-06,BAJFINANCE,BUY,3780.75
2020-11-09,HDFCBANK,BUY,1340.55
2020-11-10,ICICIBANK,SELL,483.85001
2020-11-10,BAJFINANCE,SELL,4208.5498
2020-11-11,ICICIBANK,BUY,486.54999
2020-11-11,SBIN,SELL,234.2
2020-11-11,BAJFINANCE,BUY,4268.7998
2020-11-12,SBIN,BUY,226.8
2020-11-18,SBIN,SELL,252.0
2020-11-18,BAJFINANCE,SELL,4653.75
2020-11-19,SBIN,BUY,239.75
2020-11-19,BAJFINANCE,BUY,4536.5498
2020-11-23,ICICIBANK,SELL,468.25
2020-11-23,BAJFINANCE,SELL,4811.4502
2020-11-24,HDFCBANK,SELL,1438.2
2020-11-24,ICICIBANK,BUY,478.20001
2020-11-24,BAJFINANCE,BUY,4810.6499
